 ###############
  -2.69880376380900       0.000000000000000E+000   2.69880376380900
  0.000000000000000E+000   2.69880376380900        2.69880376380900
  -2.69880376380900        2.69880376380900       0.000000000000000E+000
           8
          93
    4    6    2    2    2    1    2    2    1    1    2    6    2    2    2
    6    2    2    4    1    1    1    4    1    1    1    1    2    1    1
    1    2    2    1    1    2    4    2    1    2    1    1    1    1    2
    1    1    1    2    1    1    1    1    2    1    2    4    2    1    1
    2    2    1    1    1    2    1    1    1    1    4    1    1    1    4
    2    2    6    2    2    2    6    2    1    1    2    2    1    2    2
    2    6    4

   -3    1    1
    3    4   -0.15342722E-01 -0.28324035E-07
    4    4    0.78001296E-03 -0.25619699E-09
    5    4   -0.14103543E-01 -0.13761507E-06
    6    4    0.23201684E-01  0.24938770E-06
    7    4   -0.13565623E-01 -0.98422035E-07
    8    4    0.21166063E-01  0.28316934E-06
    1    5    0.33899372E-02 -0.35462181E-07
    2    5   -0.67280741E-02  0.32082944E-07
    3    5    0.33899384E-02 -0.25498452E-07
    4    5   -0.57199721E-02  0.54238279E-07
    5    5    0.78001283E-03 -0.20663285E-08
    6    5   -0.26988829E-02 -0.42290725E-08
    7    5    0.15342720E-01 -0.40083003E-07
    8    5    0.22196249E-02  0.10960740E-07
    1    6    0.67280740E-02 -0.75673626E-07
    2    6   -0.37763378E-02  0.19915193E-07
    3    6    0.67280752E-02 -0.59835954E-07
    4    6    0.67280742E-02 -0.73383177E-07
    5    6   -0.22196275E-02  0.10313772E-08
    6    6   -0.20391535E-01  0.28087672E-08
    7    6    0.22196237E-02 -0.65418477E-08
    8    6   -0.25997983E-01 -0.69182463E-07
    1    7   -0.33899368E-02  0.26037124E-07
    2    7    0.67280767E-02 -0.15453740E-07
    3    7    0.57199724E-02 -0.30591638E-07
    4    7   -0.33899360E-02  0.25113438E-07
    5    7    0.15342723E-01  0.38766875E-07
    6    7    0.26988798E-02  0.80255510E-08
    7    7    0.78001309E-03 -0.33597383E-08
    8    7   -0.22196292E-02 -0.13012673E-07
    1    8   -0.57199731E-02  0.84451057E-07
    2    8   -0.67280737E-02  0.58397185E-07
